Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,ЭКСПЕРТVIP Предприятие,ЭКСПЕРТПредприятие Проф,ЭКСПЕРТПредприятие,ЭКСПЕРТГлавный бухгалтер ПРОФ,ЭКСПЕРТГлавный бухгалтер,Unnamed: 9,ОПТИМАЛЬНЫЙVIP Предприятие,ОПТИМАЛЬНЫЙПредприятие Проф,ОПТИМАЛЬНЫЙПредприятие,ОПТИМАЛЬНЫЙГлавный бухгалтер ПРОФ,ОПТИМАЛЬНЫЙГлавный бухгалтер,Unnamed: 15,МИНИМАЛЬНЫЙVIP Предприятие,МИНИМАЛЬНЫЙПредприятие Проф,МИНИМАЛЬНЫЙПредприятие,МИНИМАЛЬНЫЙГлавный бухгалтер ПРОФ,МИНИМАЛЬНЫЙГлавный бухгалтер,Unnamed: 21,БАЗОВЫЙVIP Предприятие,БАЗОВЫЙПредприятие Проф,БАЗОВЫЙПредприятие,БАЗОВЫЙГлавный бухгалтер ПРОФ,БАЗОВЫЙГлавный бухгалтер,Unnamed: 27,ЭКСПЕРТКомплекс коммерческий VIP Предприятие,ЭКСПЕРТКомплекс коммерческий Предприятие ПРОФ,ЭКСПЕРТКомплекс коммерческий Предприятие,ЭКСПЕРТКомплекс коммерческий Главный Бухгалтер ПРОФ,Unnamed: 32,ОПТИМАЛЬНЫЙКомплекс коммерческий VIP Предприятие,ОПТИМАЛЬНЫЙКомплекс коммерческий Предприятие ПРОФ,ОПТИМАЛЬНЫЙКомплекс коммерческий Предприятие,ОПТИМАЛЬНЫЙКомплекс коммерческий Главный Бухгалтер ПРОФ,Unnamed: 37,МИНИМАЛЬНЫЙКомплекс коммерческий VIP Предприятие,МИНИМАЛЬНЫЙКомплекс коммерческий Предприятие ПРОФ,МИНИМАЛЬНЫЙКомплекс коммерческий Предприятие,Unnamed: 41,БАЗОВЫЙКомплекс коммерческий Главный Бухгалтер ПРОФ,Unnamed: 43,"ЭКСПЕРТГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","ЭКСПЕРТГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","ЭКСПЕРТГлавный Бухгалтер (ИПС ilex, podpis.by)","ЭКСПЕРТГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 48,"ОПТИМАЛЬНЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","ОПТИМАЛЬНЫЙГлавный Бухгалтер (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 53,"ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер (ИПС ilex, podpis.by)","ОПТИМАЛЬНЫЙ ПЛЮСГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 58,"БАЗОВЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by)","БАЗОВЫЙГлавный Бухгалтер ПРОФ (ИПС ilex, podpis.by, ilex.Накладные)","БАЗОВЫЙГлавный Бухгалтер (ИПС ilex, podpis.by)","БАЗОВЫЙГлавный Бухгалтер (ИПС ilex, podpis.by, ilex.Накладные)",Unnamed: 63,Unnamed: 64
,Умные страницы,31.0,, +, +, +, +, +,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, +, +,,,,,,, - , - , - , - ,,33.0
,Классификаторы,32.0,, +, +, +, +, - ,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, - ,, - , - , - ,, - ,, +, +, - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,34.0
,"Словарь терминов, поиск по словарю терминов в кастомном меню",33.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,35.0
,Подсветка новых материалов в поисковой выдаче,34.0,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, - , - , - , - ,, - , - , - ,, - ,, +, +, - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,36.0
,Переход в список редакций из результатов поиска,35.0,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, - , - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,37.0
,"Базовые функции при работе с документом: печать документа, фрагмента; копирование текста, ссылки на абзац; экспорт в Word, поиск по тексту, справка к документу, оглавление",36.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,38.0
,Исправление опечаток при поиске в документе,37.0,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, - , - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,39.0
,Поиск в оглавлении,38.0,," +
Полнотекстовый поиск в оглавлении"," +
Полнотекстовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении",," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении",, - , - , - , - , - ,, - , - , - , - , - ,," +
Полнотекстовый поиск в оглавлении"," +
Полнотекстовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении",," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении",, - , - , - ,, - ,," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении",," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении"," +
Базовый поиск в оглавлении",,,,,,, - , - , - , - ,,40.0
,Экспорт в Word с названием документа,39.0,, +, +, +, +, +,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, - , - ,, - , - , - ,, - ,, +, +, +, +,, - , - , - , - ,,,,,,, - , - , - , - ,,41.0
,Сравнение редакций,40.0,," + 
включая:
- Полноэкранный режим сравнения редакций; 
- Экспорт в Word сравнения редакций: экспорт только изменений и экспорт полного текста двух редакций с отображением изменений"," + 
включая:
- Полноэкранный режим сравнения редакций; 
- Экспорт в Word сравнения редакций: экспорт только изменений и экспорт полного текста двух редакций с отображением изменений"," + 
включая Полноэкранный режим сравнения редакций"," + 
включая Полноэкранный режим сравнения редакций", - ,, + , + , + , + , - ,, - , - , - , - , - ,, - , - , - , - , - ,," + 
включая:
- Полноэкранный режим сравнения редакций; 
- Экспорт в Word сравнения редакций: экспорт только изменений и экспорт полного текста двух редакций с отображением изменений"," + 
включая:
- Полноэкранный режим сравнения редакций; 
- Экспорт в Word сравнения редакций: экспорт только изменений и экспорт полного текста двух редакций с отображением изменений"," + 
включая Полноэкранный режим сравнения редакций"," + 
включая Полноэкранный режим сравнения редакций",, + , + , + , + ,, - , - , - ,, - ,," + 
включая Полноэкранный режим сравнения редакций"," + 
включая Полноэкранный режим сравнения редакций", - , - ,, + , + , - , - ,,,,,,, - , - , - , - ,,42.0
,Отображение периода действия редакции,41.0,, + , + , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, + , + , - , - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,43.0
,Дополнительная информация (i),42.0,," +
включая Поиск в «Дополнительной информации»"," +
включая Поиск в «Дополнительной информации»"," +
включая Поиск в «Дополнительной информации»", +, +,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,," +
включая Поиск в «Дополнительной информации»"," +
включая Поиск в «Дополнительной информации»"," +
включая Поиск в «Дополнительной информации»", +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, - , - ,,,,,,, - , - , - , - ,,44.0
,Документ на контроле,43.0,," +
без ограничений"," +
без ограничений"," +
без ограничений"," +
без ограничений", - ,," +
 до 5 документов"," +
 до 5 документов", - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,," +
без ограничений"," +
без ограничений"," +
без ограничений"," +
без ограничений",," +
 до 5 документов"," +
 до 5 документов", - , - ,, - , - , - ,, - ,," +
без ограничений"," +
без ограничений", - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,45.0
,Переход к следующему документу из списка сразу из открытого документа,44.0,, +, +, +, +, +,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, +, +,,,,,,, - , - , - , - ,,46.0
,Скрыть/показать примечания,45.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,47.0
,Полноэкранный режим,46.0,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, - , - , - , - ,, - , - , - ,, - ,, +, +, +, +,, - , - , - , - ,,,,,,, - , - , - , - ,,48.0
,Поиск в ilex из кастомного меню,47.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,49.0
,Рекомендации в документах,48.0,, +, +, +, +, +,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, +, +,,,,,,, - , - , - , - ,,50.0
,Умные ссылки,49.0,, +, +, +, +, +,, +, +, +, +, +,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, +, +,,,,,,, - , - , - , - ,,51.0
,Проверка ссылок,50.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,52.0
,"Копирование/Печать нескольких фрагментов документа с названием документа 
(кнопка ""Список добавленных фрагментов"" на панели действий)",51.0,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, - , - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,53.0
,"Режим копирования нескольких фрагментов
(кнопка ""Включить режим копирования"" на панели действий)",52.0,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, - , - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,54.0
,Уведомление о размещении текста НПА в сервисе,53.0,, +, +, - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, - , - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,55.0
,Выделение текста цветом (маркировка),54.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,56.0
,Личные комментарии,55.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,57.0
,Примечания на правой панели,56.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,58.0
,Тултипы к ссылкам в документе,57.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,59.0
,Тултипы к названию документа,58.0,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +, +,, +, +, +, +,, +, +, +, +,, +, +, +,, +,, +, +, +, +,, +, +, +, +,,,,,,, +, +, +, +,,60.0
,Избранное,59.0,, +, +, +, +, +,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, +,, - , - , - ,, - ,, +, +, +, +,, +, +, - , - ,,,,,,, - , - , - , - ,,61.0
,Папки в Избранном,60.0,, +, +, +, +, +,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, +, +, +, - ,, - , - , - ,, - ,, +, +, +, +,, - , - , - , - ,,,,,,, - , - , - , - ,,62.0
,Закладки,61.0,, +, +, +, +, - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, +,, - , - , - , - ,, - , - , - ,, - ,, +, +, - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,63.0
,Поиск документов в Избранном,62.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,64.0
,"Избранное: видеть, в какой папке документ",63.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,65.0
,Информационные полосы со статусом документа,64.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,66.0
,Избранное. Скачать/загрузить файл,65.0,, +, +, +, - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, - , - , - , - , - ,, +, +, +, - ,, - , - , - , - ,, - , - , - ,, - ,, - , - , - , - ,, - , - , - , - ,,,,,,, - , - , - , - ,,67.0
УСЛУГИ,Электронный документооборот (ЭДО) с использованием сервиса podpis.by,66.0,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,68.0
,"Услуга по обработке данных с помощью Сервиса ""ilex.Накладные""",67.0,,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,+,+,+,+,,+,+,+,+,,+,+,+,,+,,-,+,-,+,,-,+,-,+,,-,+,-,+,,-,+,-,+,,69.0
,Обращение в службу поддержки,68.0,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,70.0
,Консультирование по формам Excel в ilex,69.0,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,71.0
,Онлайн-обучение работе с ilex,70.0,,+,+,+,-,-,,+,+,+,-,-,,+,+,+,-,-,,+,+,+,-,-,,+,+,+,-,,+,+,+,-,,+,+,+,,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,72.0
,Оффлайн-обучение работе с ilex для клиентов г. Минска,71.0,,+,+,-,-,-,,+,+,-,-,-,,+,+,-,-,-,,+,+,-,-,-,,+,+,-,-,,+,+,-,-,,+,+,-,,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,73.0
,Заказ документов по зак-ву РБ,72.0,,+,+,+,+,+,,+,+,+,+,+,,-,-,-,-,-,,-,-,-,-,-,,+,+,+,+,,+,+,+,+,,-,-,-,,-,,+,+,+,+,,+,+,+,+,,+,+,+,+,,-,-,-,-,,74.0
,Заказ документов по зак-ву РФ,73.0,,+,+,+,+,+,,+,+,+,+,+,,-,-,-,-,-,,-,-,-,-,-,,+,+,+,+,,+,+,+,+,,-,-,-,,-,,+,+,+,+,,+,+,+,+,,+,+,+,+,,-,-,-,-,,75.0
,Заказ документов по зак-ву РБ (запрос в ОГВ),74.0,,+,+,-,-,-,,+,+,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,+,+,-,-,,+,+,-,-,,-,-,-,,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,76.0
,Информирование о новостях зак-ва и новинках ilex (рассылка на эл. адрес и/или Viber/Telegram),75.0,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,77.0
,Аудиториумы ilex,76.0,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,+,+,+,+,,78.0
,Круглые столы,77.0,,+,+,-,-,-,,+,+,-,-,-,,+,+,-,-,-,,+,+,-,-,-,,+,+,-,-,,+,+,-,-,,+,+,-,,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,-,-,-,-,,79.0
,Задать Вопрос Эксперту,78.0,,+,+,+,+,+,,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,+,+,+,+,,-,-,-,-,,-,-,-,,-,,+,+,+,+,,-,-,-,-,,+,+,+,+,,-,-,-,-,,80.0
,Заказ подборок документов,79.0,,+,+,+,+,+,,+,+,+,+,+,,-,-,-,-,-,,-,-,-,-,-,,+,+,+,+,,+,+,+,+,,-,-,-,,-,,+,+,+,+,,+,+,+,+,,+,+,+,+,,-,-,-,-,,81.0
,Сообщество ilex,80.0,,+,+,+,+,+,,+,+,+,+,+,,-,-,-,-,-,,-,-,-,-,-,,+,+,+,+,,+,+,+,+,,-,-,-,,-,,+,+,+,+,,+,+,+,+,,+,+,+,+,,-,-,-,-,,82.0
,Profzakupki.by: онлайн-помощник для специалистов по закупке,81.0,,по запросу,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,,по запросу,,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,,по запросу,по запросу,по запросу,по запросу,,83.0
